id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url
4NFKJ,VivoBarefoot Magna FG Hiking Boots - Leather (For Men),VivoBarefoot,Men's & Women's Hiking Boots/Men's Hiking Boots,4NFKJ-01-49-M,119.99,119.99,119.99,25,33,20,https://www.sierra.com/vivobarefoot-magna-fg-hiking-boots-leather-for-men~p~4nfkj/?filterString=newproducts~14%2Factivities~d~14342%2F
4NCUW,VivoBarefoot Primus Lite III Running Shoes (For Men),VivoBarefoot,Men's Running Shoes,4NCUW-01-49-M,79.99,79.99,79.99,46,54,54,https://www.sierra.com/vivobarefoot-primus-lite-iii-running-shoes-for-men~p~4ncuw/?filterString=newproducts~14%2Factivities~d~14342%2F
4NFGG,VivoBarefoot Tracker Decon FG2 Hiking Boots - Leather (For Men),VivoBarefoot,Men's & Women's Hiking Boots/Men's Hiking Boots,4NFGG-01-44-M,119.99,119.99,119.99,35,38,29,https://www.sierra.com/vivobarefoot-tracker-decon-fg2-hiking-boots-leather-for-men~p~4nfgg/?filterString=newproducts~14%2Factivities~d~14342%2F
3RTHH,"Mad Man Dry Gear 10 L Outdoor Travel Bag Day Pak - Waterproof, Black",Mad Man,Dry Bags/Fishing Tools & Bags/Ski & Snowboard Accessories,3RTHH-02,12.99,12.99,12.99,48,59,59,https://www.sierra.com/mad-man-dry-gear-10-l-outdoor-travel-bag-day-pak-waterproof-black~p~3rthh/?filterString=newproducts~14%2Factivities~d~14342%2F
2FXKK,Lamson Liquid -5+ Fly Reel - 3-Pack,Lamson,Fly Fishing Reels,2FXKK-01,159.99,159.99,159.99,27,29,29,https://www.sierra.com/lamson-liquid-5-plus--fly-reel-3-pack~p~2fxkk/?filterString=newproducts~14%2Factivities~d~14342%2F
4VWTM,Head Gravity Tour Lite Pickleball Paddle,Head,Golf & Tennis Gear/Golf & Tennis Gear/Tennis & Pickleball,4VWTM-01,79.99,79.99,79.99,33,68,68,https://www.sierra.com/head-gravity-tour-lite-pickleball-paddle~p~4vwtm/?filterString=newproducts~14%2Factivities~d~14342%2F
5AKHD,Daiwa Certate Saltwater 6000-XH Spinning Reel - 14-20 lb.,Daiwa,Spinning & Other Reels,5AKHD-01,399.99,399.99,399.99,33,15,15,https://www.sierra.com/daiwa-certate-saltwater-6000-xh-spinning-reel-14-20-lb~p~5akhd/?filterString=newproducts~14%2Factivities~d~14342%2F
3TCDU,Simms Tributary 5 L Hip Pack,Simms,Fishing Tools & Bags,3TCDU-02,49.99,49.99,49.99,44,170,170,https://www.sierra.com/simms-tributary-5-l-hip-pack~p~3tcdu/?filterString=newproducts~14%2Factivities~d~14342%2F
3RTHA,Mad Man Dry Gear Waist Bag - Waterproof,Mad Man,Dry Bags/Fishing Tools & Bags/Ski & Snowboard Accessories,3RTHA-01,14.99,14.99,14.99,57,45,45,https://www.sierra.com/mad-man-dry-gear-waist-bag-waterproof~p~3rtha/?filterString=newproducts~14%2Factivities~d~14342%2F
4XGCV,Altra Vanish Tempo Running Shoes (For Women),Altra,Women's Running Shoes,4XGCV-01-8.5-M,79.99,79.99,79.99,50,172,29,https://www.sierra.com/altra-vanish-tempo-running-shoes-for-women~p~4xgcv/?filterString=newproducts~14%2Factivities~d~14342%2F
